Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Brazil,"Rice, paddy",2017,1523.8,426.66,24.5,38478.7
India,Wheat,2020,2827.6,257.0,33.8,35114.0
Brazil,Soybeans,2006,1220.6,402.83,18.5,36908.7
India,"Rice, paddy",2008,1199.9,246.22,24.3,34911.0
Australia,"Rice, paddy",2019,1805.1,489.18,29.3,37572.6
Brazil,Maize,2015,755.9,230.61,17.7,32999.7
United States of America,Potatoes,2002,1507.7,482.78,19.4,193366.5
India,Wheat,2005,1536.0,379.88,15.1,42961.1
India,Wheat,2004,853.4,371.13,11.3,35166.2
United States of America,Wheat,2013,2145.0,92.19,30.5,33192.4
Australia,"Rice, paddy",2016,1701.9,117.57,13.1,29134.5
Australia,Maize,2019,1771.0,135.24,27.6,36955.9
Brazil,Soybeans,2002,1335.1,418.66,31.6,33105.8
China,Maize,2011,1887.9,333.65,15.0,37368.5
China,"Rice, paddy",2019,576.3,205.54,33.3,29013.4
Brazil,"Rice, paddy",2018,1559.2,181.15,12.7,31067.6
United States of America,"Rice, paddy",2002,2982.7,87.85,26.8,35791.0
Brazil,Soybeans,2006,469.9,94.08,10.8,26732.8
Brazil,Soybeans,2019,1113.2,124.86,19.3,31559.4
China,Potatoes,2013,1515.2,102.76,24.2,175909.3
Brazil,Wheat,2016,2558.4,256.21,23.2,44989.3
Brazil,Potatoes,2003,1843.5,166.16,28.1,183981.1
China,Potatoes,2016,342.4,180.37,12.2,233813.4
Brazil,"Rice, paddy",2004,572.5,99.91,35.0,26072.8
United States of America,Maize,2019,2859.2,129.65,18.4,39779.0
United States of America,Potatoes,2007,1640.6,62.1,20.0,206939.6
India,"Rice, paddy",2007,1289.7,186.99,13.8,28735.9
United States of America,Potatoes,2006,1290.1,53.35,25.7,183829.9
China,Soybeans,2002,1653.1,192.19,34.3,33878.7
Brazil,Potatoes,2010,1432.6,195.65,26.6,183128.1
Brazil,"Rice, paddy",2008,2343.7,303.55,14.2,34290.9
United States of America,Wheat,2019,546.9,278.64,32.3,32380.2
United States of America,Potatoes,2018,400.5,458.84,26.8,176720.8
India,"Rice, paddy",2018,2599.2,78.73,34.4,31778.5
Brazil,Maize,2007,2728.7,470.47,26.8,47566.7
United States of America,Soybeans,2000,2556.0,480.83,29.4,43731.7
China,Soybeans,2018,1674.0,31.69,19.6,32749.5
Australia,Wheat,2007,2909.8,226.38,13.6,41392.3
Australia,Potatoes,2017,2679.4,175.42,12.1,176990.6
United States of America,Maize,2015,1495.2,242.89,29.4,33572.5
Brazil,Potatoes,2007,1279.7,300.75,31.2,154468.5
India,Potatoes,2015,1154.4,171.42,14.9,151661.3
Australia,"Rice, paddy",2005,1968.9,255.0,23.6,37134.9
India,"Rice, paddy",2008,2867.0,204.65,21.7,37744.3
Australia,"Rice, paddy",2013,2310.8,84.53,14.7,34862.9
China,Soybeans,2011,968.2,322.8,26.3,33162.9
Australia,Maize,2000,1024.3,499.67,14.4,41128.6
Brazil,"Rice, paddy",2015,1508.3,477.53,33.0,34796.2
India,Potatoes,2016,1762.3,314.9,16.4,177136.6
China,Maize,2014,743.5,252.11,30.8,30599.8
Brazil,Wheat,2012,2238.9,290.94,33.7,42635.9
United States of America,Maize,2004,768.9,345.24,26.1,37317.8
Brazil,Soybeans,2006,1055.4,282.69,12.2,31913.7
India,Potatoes,2000,2172.2,495.33,16.9,161401.0
China,"Rice, paddy",2016,1781.7,398.24,24.6,38115.8
India,Maize,2007,1149.4,256.29,33.5,33603.7
China,Wheat,2014,837.7,212.68,19.6,34429.4
India,"Rice, paddy",2014,1663.8,494.19,21.6,36917.4
United States of America,Wheat,2019,2247.9,470.67,32.0,43229.9
China,Soybeans,2005,1817.8,276.58,12.9,33378.9
Brazil,Potatoes,2018,835.2,72.43,35.0,156801.5
India,Maize,2011,2571.0,498.43,20.8,46190.0
India,Soybeans,2002,922.1,342.76,34.5,31442.4
China,Wheat,2009,1614.2,351.31,31.3,36530.3
India,Potatoes,2009,1512.5,398.33,23.7,189950.6
United States of America,Potatoes,2004,1979.4,270.27,28.7,204526.6
Australia,Maize,2018,2920.2,56.64,16.7,38977.2
China,Maize,2006,741.9,138.84,11.6,27286.8
India,Potatoes,2020,652.7,186.23,10.6,182202.5
United States of America,Wheat,2006,516.2,237.49,10.2,32517.4
Brazil,"Rice, paddy",2004,441.3,391.53,31.1,32575.2
Brazil,Soybeans,2012,2317.5,105.1,23.4,35392.8
Australia,"Rice, paddy",2015,2125.6,453.92,28.2,42178.3
China,Maize,2006,1286.5,420.89,23.9,42037.0
Australia,Maize,2006,2229.3,311.89,34.3,35406.0
India,Soybeans,2006,2944.0,348.33,26.8,41696.1
Brazil,Wheat,2000,1708.9,293.03,10.2,34806.6
United States of America,Wheat,2013,1070.1,277.21,10.0,36063.5
India,Soybeans,2001,1857.7,77.84,18.9,30140.2
China,Soybeans,2012,2071.2,170.9,28.7,29562.1
China,Wheat,2020,2931.9,412.89,11.5,48184.6
Australia,Potatoes,2007,1836.1,440.91,33.5,180668.6
United States of America,Wheat,2012,432.7,95.94,29.8,31990.0
Brazil,Maize,2016,2322.3,136.52,12.9,35180.4
India,Wheat,2020,1910.3,183.33,30.2,37164.2
India,"Rice, paddy",2009,997.7,409.39,32.5,32789.3
Brazil,"Rice, paddy",2012,454.2,336.58,23.3,34091.4
India,Wheat,2014,1654.6,362.87,12.8,37886.8
United States of America,Wheat,2013,763.5,404.01,27.3,33268.5
United States of America,"Rice, paddy",2006,1482.9,408.99,23.7,37400.6
Australia,Wheat,2009,1514.5,378.3,29.9,38526.6
Brazil,Maize,2014,1010.3,362.33,14.7,35303.0
United States of America,"Rice, paddy",2019,1403.6,214.75,24.6,35234.7
Brazil,"Rice, paddy",2006,1165.5,67.92,17.4,24950.9
United States of America,Soybeans,2019,2449.1,153.23,11.8,36407.1
China,Potatoes,2017,2440.3,139.93,26.2,199947.6
Australia,"Rice, paddy",2001,1724.5,327.89,15.8,37125.8
Brazil,Maize,2010,1695.9,265.02,20.0,39600.9
Brazil,Potatoes,2009,2433.4,109.28,26.9,176326.8
United States of America,"Rice, paddy",2018,1268.9,305.22,19.6,35993.4
India,Wheat,2019,1771.7,330.9,32.6,38655.3
China,Wheat,2008,1484.4,109.53,13.3,31005.5
Australia,Wheat,2018,503.9,413.88,20.7,40744.5
India,"Rice, paddy",2007,542.2,480.79,30.2,31672.3
India,"Rice, paddy",2003,2094.0,354.55,14.4,35531.9
Australia,Maize,2001,685.7,382.24,29.7,38290.2
United States of America,Wheat,2009,2133.8,37.5,34.8,34833.7
India,Soybeans,2008,608.3,259.4,24.7,30996.5
United States of America,Wheat,2016,1915.1,301.11,11.6,37031.6
United States of America,Wheat,2013,1704.3,305.56,16.6,39240.0
China,Potatoes,2015,2478.3,78.88,10.4,145134.9
United States of America,"Rice, paddy",2009,673.4,213.35,23.8,28154.6
China,"Rice, paddy",2008,2841.3,431.01,24.1,43470.3
Australia,"Rice, paddy",2019,1375.9,158.8,21.7,30471.7
India,"Rice, paddy",2012,1865.5,314.12,19.1,35068.6
Australia,Maize,2016,2296.6,213.45,18.3,39964.0
India,Maize,2019,2480.3,254.59,11.4,35396.3
China,"Rice, paddy",2002,2216.4,241.37,23.0,37444.1
United States of America,"Rice, paddy",2015,2125.5,202.8,33.3,31993.2
Australia,Soybeans,2011,2780.0,452.1,13.9,42559.0
Australia,Maize,2019,1881.1,295.88,28.0,35052.8
United States of America,"Rice, paddy",2008,1193.7,418.81,17.7,30307.1
China,"Rice, paddy",2014,2815.0,454.25,29.5,41540.9
India,Soybeans,2010,2285.8,496.04,25.7,38794.9
India,Maize,2009,1737.4,152.03,19.8,33719.7
United States of America,"Rice, paddy",2015,711.2,132.36,20.7,27229.0
United States of America,Maize,2008,1591.4,90.73,22.1,36807.8
United States of America,Potatoes,2004,2371.5,103.34,18.0,198173.7
Brazil,Potatoes,2012,2573.4,241.69,26.5,196994.7
India,Maize,2017,2554.2,378.07,22.1,42999.6
India,Soybeans,2018,2618.9,314.62,29.1,40691.9
China,Wheat,2003,2465.2,425.82,22.1,46162.4
Brazil,Potatoes,2002,2050.8,190.11,28.9,189732.0
China,Maize,2011,1961.4,206.27,33.4,39855.9
Australia,Soybeans,2008,1332.0,141.25,28.0,33101.0
United States of America,"Rice, paddy",2012,1681.3,79.88,11.3,27231.5
China,Soybeans,2001,1644.5,155.36,30.3,31316.9
India,Soybeans,2015,426.8,283.38,29.1,29926.3
Brazil,"Rice, paddy",2016,1579.2,223.66,10.2,29760.4
China,Potatoes,2015,2031.4,207.12,17.3,190060.9
India,Maize,2011,2033.7,149.43,13.2,28807.7
India,Soybeans,2014,1571.2,99.87,25.0,31203.9
China,Maize,2019,2382.4,19.89,14.9,31537.2
China,Wheat,2007,1252.3,163.19,21.8,35147.0
Australia,Potatoes,2014,1241.7,347.09,14.0,199552.7
China,"Rice, paddy",2014,2101.0,455.83,18.6,38229.1
Brazil,Maize,2016,1295.5,345.17,19.7,37833.9
Brazil,Soybeans,2011,2124.9,124.74,10.4,31198.1
Brazil,Soybeans,2015,951.6,39.73,18.9,25098.2
China,Wheat,2005,2298.0,155.21,31.5,35852.0
Brazil,Potatoes,2013,1965.6,1.95,10.2,194233.4
India,"Rice, paddy",2003,1881.6,293.59,21.1,34771.4
China,Soybeans,2019,1018.3,295.61,22.6,35076.1
India,"Rice, paddy",2002,2269.7,10.66,15.1,31906.9
Australia,Wheat,2002,1562.9,136.76,21.6,36617.4
India,"Rice, paddy",2013,1801.0,202.29,21.5,37811.2
Brazil,"Rice, paddy",2001,718.1,91.87,19.1,25876.7
China,Potatoes,2013,501.0,252.09,14.6,207568.9
India,"Rice, paddy",2016,324.3,129.28,20.2,29654.6
Australia,Potatoes,2001,2049.9,9.67,26.3,168865.1
India,Maize,2008,2792.7,344.8,13.2,42373.8
China,"Rice, paddy",2004,2556.0,22.31,15.9,28202.1
United States of America,Wheat,2009,1725.7,484.74,28.1,45290.4
Australia,Maize,2017,2158.7,79.65,29.7,31999.0
United States of America,Soybeans,2012,630.7,267.25,32.0,27825.8
United States of America,"Rice, paddy",2000,490.2,139.43,18.1,27614.5
United States of America,"Rice, paddy",2010,2640.5,313.32,26.7,38860.5
Australia,"Rice, paddy",2002,2071.7,236.1,24.3,36123.4
Australia,Soybeans,2000,1126.7,327.99,16.0,31983.9
Australia,"Rice, paddy",2014,2521.5,259.4,21.5,38648.5
United States of America,"Rice, paddy",2017,1998.9,349.81,27.8,33557.0
Brazil,Soybeans,2005,2341.8,138.33,32.6,31614.7
Australia,Maize,2018,572.6,480.96,26.3,41071.9
United States of America,Potatoes,2003,1653.9,117.2,20.2,200633.3
United States of America,Wheat,2002,1899.9,190.27,22.5,40774.9
United States of America,Maize,2017,1663.3,88.62,30.3,30569.6
Brazil,"Rice, paddy",2018,1296.3,68.19,23.0,30248.2
India,Wheat,2018,795.7,126.76,20.2,36794.6
United States of America,Wheat,2015,492.4,427.2,29.5,37176.8
Brazil,Maize,2004,2229.7,468.88,32.8,40706.9
China,Soybeans,2008,1775.3,284.95,18.6,33184.6
Brazil,Wheat,2006,424.4,272.17,18.5,40710.9
United States of America,Wheat,2014,2913.9,389.89,10.6,41194.6
China,"Rice, paddy",2004,427.1,334.44,31.6,31859.3
Australia,Wheat,2000,2549.7,464.74,25.7,45412.1
Brazil,Wheat,2003,2951.8,491.52,33.1,44371.9
India,Soybeans,2004,817.0,193.43,22.1,33008.9
United States of America,Soybeans,2003,632.9,74.15,10.7,25475.5
Australia,Potatoes,2012,2347.6,303.2,24.3,194010.3
United States of America,Soybeans,2000,1724.2,412.51,31.4,32625.5
India,Wheat,2000,733.9,489.14,14.0,40618.0
China,Maize,2017,2026.3,64.95,20.8,35759.6
China,Potatoes,2019,993.0,357.09,22.0,191283.0
India,"Rice, paddy",2004,2910.5,263.53,17.6,36229.0
Australia,"Rice, paddy",2000,1166.0,433.89,15.8,34754.0
India,Potatoes,2014,483.6,97.3,15.4,165127.4
India,Maize,2012,451.9,40.81,34.8,28494.7
China,Maize,2019,2066.4,267.04,33.6,40432.5
India,Soybeans,2010,1023.0,227.75,21.8,30363.6
Brazil,Maize,2004,2043.6,7.25,14.1,29351.4
United States of America,"Rice, paddy",2000,2067.9,195.35,14.9,33896.4
Australia,Soybeans,2008,1863.7,94.94,32.5,32571.3
Brazil,"Rice, paddy",2012,626.6,39.81,23.2,30359.9
China,Soybeans,2018,2145.3,342.1,22.5,39010.0
United States of America,"Rice, paddy",2017,1178.6,47.82,34.4,27793.7
India,Soybeans,2015,2487.7,268.52,17.0,36710.8
India,Wheat,2017,1990.2,75.7,21.7,38393.1
Australia,Maize,2003,1685.6,248.1,18.3,32061.3
India,Soybeans,2018,1610.2,271.93,17.6,31880.9
Australia,Wheat,2011,613.7,308.32,21.1,38413.1
China,Maize,2020,1292.8,50.76,17.7,28704.2
United States of America,"Rice, paddy",2000,1542.3,97.13,15.3,28080.2
India,Potatoes,2003,1516.9,376.93,33.9,172674.0
Brazil,Soybeans,2008,991.3,325.59,12.9,26903.4
Brazil,Maize,2008,553.8,145.72,34.6,32726.9
China,Soybeans,2018,2990.0,422.85,25.3,44242.2
China,Maize,2005,2185.1,146.06,18.4,36282.1
India,Wheat,2012,2605.4,70.51,23.6,39170.1
Brazil,Soybeans,2012,2132.4,210.74,34.0,33007.0
Brazil,Soybeans,2006,595.3,198.95,18.4,31542.1
Australia,Wheat,2004,2641.1,476.36,20.1,46783.2
China,"Rice, paddy",2004,637.7,65.33,23.9,27963.3
United States of America,Wheat,2000,802.0,112.57,22.3,35605.6
United States of America,"Rice, paddy",2019,1783.0,374.31,29.6,38805.0
United States of America,Maize,2015,2267.3,177.75,25.3,35888.0
India,"Rice, paddy",2008,2029.3,130.09,12.1,30130.5
Brazil,Wheat,2020,2430.4,175.81,20.1,38668.4
India,Wheat,2000,465.3,295.66,34.7,32379.3
China,Maize,2018,1846.2,250.54,31.4,38290.9
India,Soybeans,2012,2124.2,271.52,15.8,37267.7
Brazil,Soybeans,2006,2245.7,250.4,32.4,35220.9
India,Potatoes,2001,1291.4,271.38,13.7,184184.7
Australia,Maize,2015,2002.2,367.27,19.3,37344.4
India,Wheat,2008,2205.3,244.87,19.6,41638.2
India,Wheat,2011,818.4,420.08,28.1,38389.8
United States of America,Wheat,2017,2694.7,405.31,19.4,46644.9
Brazil,"Rice, paddy",2017,1866.6,452.07,18.0,36392.2
India,Wheat,2006,1926.8,148.26,32.2,36050.5
China,Soybeans,2015,436.6,463.18,34.0,35533.7
Australia,Soybeans,2011,724.5,345.47,22.8,35364.3
India,"Rice, paddy",2017,604.2,288.65,11.0,29946.8
United States of America,Maize,2004,2101.8,22.4,18.2,31890.9
United States of America,Wheat,2012,1198.3,219.43,16.6,36132.3
Australia,Wheat,2003,1605.5,342.88,29.5,43159.8
India,Wheat,2011,2234.1,334.86,21.9,43466.0
Brazil,Soybeans,2004,1651.0,179.08,16.9,34514.0
Australia,Soybeans,2012,771.4,161.47,34.4,29983.7
United States of America,Potatoes,2009,2323.2,482.36,11.8,218716.1
Brazil,Soybeans,2006,1035.2,85.11,25.5,30639.8
India,Soybeans,2009,2293.5,71.19,32.1,29254.2
Brazil,Maize,2012,2161.7,172.32,16.9,36444.3
India,Soybeans,2004,390.6,280.42,27.4,29732.4
China,Maize,2008,390.3,183.69,15.9,33060.1
United States of America,Soybeans,2005,2790.2,213.23,34.6,36475.9
Australia,"Rice, paddy",2007,447.9,211.07,27.7,29827.1
Brazil,Maize,2007,785.0,479.82,19.6,40594.2
Australia,Soybeans,2018,2096.2,39.81,25.1,31101.8
Australia,"Rice, paddy",2018,1551.2,299.92,14.3,31489.3
India,Potatoes,2011,2157.9,64.53,20.6,207473.7
India,"Rice, paddy",2013,1007.5,440.92,32.3,35690.4
Australia,Maize,2006,1986.7,141.63,19.5,32771.7
India,Soybeans,2014,1214.6,235.25,31.4,32409.8
Brazil,"Rice, paddy",2018,2002.5,374.92,20.9,37297.8
United States of America,"Rice, paddy",2005,383.2,439.66,10.3,31484.7
Brazil,Soybeans,2020,1869.8,274.69,15.5,35344.8
China,"Rice, paddy",2002,2821.7,102.1,13.7,33792.4
India,Soybeans,2008,2110.5,159.52,19.5,35089.0
China,Potatoes,2017,993.8,10.94,15.6,154707.5
Australia,Maize,2001,2839.5,453.02,24.2,44680.8
United States of America,Wheat,2001,1412.0,363.93,21.3,42411.5
India,Potatoes,2017,2496.8,18.37,23.2,167118.6
India,Maize,2004,2745.8,419.36,21.8,40756.4
Australia,Maize,2010,1554.7,410.46,25.4,39384.4
Brazil,"Rice, paddy",2006,2764.5,59.62,26.1,35309.2
Brazil,Maize,2004,1437.0,205.56,15.8,33004.8
India,Maize,2010,1405.4,145.3,10.4,27103.2
China,Potatoes,2009,1461.1,492.23,17.4,213570.9
United States of America,Maize,2006,2838.5,446.09,23.4,49872.2
China,Potatoes,2019,1423.2,373.46,12.3,188363.5
China,Maize,2012,2521.1,105.42,19.9,34522.0
India,Wheat,2002,1492.1,245.56,31.2,33288.2
Australia,Wheat,2011,995.8,442.52,24.4,39978.4
Australia,Potatoes,2000,2978.6,65.61,29.9,175732.5
China,Maize,2005,2277.6,216.39,27.0,41382.6
United States of America,Soybeans,2010,2037.7,54.48,20.9,32535.9
China,Maize,2016,1003.8,426.75,31.6,36063.4
China,Soybeans,2012,2939.0,19.16,21.1,34470.8
Brazil,Soybeans,2005,2699.9,24.64,24.1,31235.4
India,Wheat,2011,2915.8,495.95,29.7,48380.6
Brazil,Soybeans,2001,2865.6,32.1,25.1,38033.8
China,Maize,2006,1883.4,130.99,34.5,34132.4
Australia,Potatoes,2004,370.6,344.32,25.1,192854.7
Brazil,Maize,2010,2770.1,176.33,20.3,38024.2
India,"Rice, paddy",2012,2214.8,100.57,15.3,29400.4
China,"Rice, paddy",2012,2416.7,226.9,29.8,36735.7
Australia,Wheat,2020,1039.8,157.76,12.9,30855.3
China,Wheat,2017,582.1,360.27,27.2,36360.1
Australia,Wheat,2019,2342.7,129.05,27.3,43596.2
Brazil,Potatoes,2007,1577.7,309.05,21.4,184022.3
Australia,"Rice, paddy",2009,974.6,168.56,24.7,34400.3
United States of America,Soybeans,2019,914.6,262.46,30.2,30833.1
China,"Rice, paddy",2018,963.2,55.09,29.9,26956.6
United States of America,Maize,2011,442.4,228.74,33.6,30114.1
United States of America,Maize,2000,572.0,353.91,10.8,32776.4
China,Soybeans,2000,1267.6,92.01,26.1,29787.8
China,Potatoes,2019,1470.4,198.67,33.5,190575.7
China,"Rice, paddy",2001,650.7,357.86,11.7,29932.3
India,"Rice, paddy",2001,2272.1,266.67,33.3,34544.1
China,Wheat,2017,584.9,341.69,26.5,38935.6
India,"Rice, paddy",2015,2687.5,431.41,21.1,41681.0
Brazil,Soybeans,2002,524.2,95.93,21.0,27870.2
India,Potatoes,2010,2479.8,381.61,19.7,195694.9
China,"Rice, paddy",2020,2148.9,63.16,29.7,32303.2
United States of America,Wheat,2013,1402.2,140.59,28.3,34124.6
India,"Rice, paddy",2020,2133.7,492.48,10.7,36876.1
Australia,Maize,2003,930.7,389.3,25.2,38057.9
Australia,Maize,2003,1962.5,345.63,20.1,40394.5
United States of America,Soybeans,2009,1387.5,18.59,23.8,28208.9
Brazil,Maize,2014,981.1,267.34,30.6,35215.2
Brazil,Maize,2019,1648.8,435.03,13.2,40268.7
Brazil,"Rice, paddy",2016,1598.5,188.47,19.1,35967.6
Brazil,Maize,2000,2503.3,401.38,22.2,45176.3
India,Wheat,2018,662.1,28.67,31.7,26898.8
India,Maize,2018,904.3,170.55,34.8,27868.7
Australia,"Rice, paddy",2009,353.3,68.02,27.4,26800.3
United States of America,"Rice, paddy",2016,1247.0,378.99,24.6,37448.5
Brazil,Maize,2000,2829.8,188.94,26.6,43576.2
India,Wheat,2001,2662.3,405.51,34.5,41054.2
United States of America,Maize,2014,1096.8,366.83,31.8,39519.4
United States of America,Soybeans,2002,1223.0,84.55,24.5,30795.2
Australia,Soybeans,2020,2197.4,396.46,25.7,35187.0
United States of America,Maize,2016,1185.8,330.36,28.3,41230.3
Brazil,Soybeans,2004,1895.4,456.65,29.9,37377.6
China,Potatoes,2017,851.4,123.98,34.9,168540.4
Australia,Maize,2011,359.4,408.53,10.3,31583.2
China,Potatoes,2004,1951.0,348.17,18.6,201524.5
United States of America,Maize,2016,1374.8,13.71,18.4,36521.1
India,Maize,2006,2488.0,398.53,13.2,41047.9
China,Soybeans,2009,1479.8,392.38,12.3,35694.0
Australia,Soybeans,2011,2541.5,478.09,27.5,45155.0
Australia,Potatoes,2000,843.1,89.73,18.4,139805.7
Brazil,Maize,2009,2962.0,320.16,31.5,39616.1
United States of America,Potatoes,2019,653.5,348.26,15.2,179201.4
Australia,Soybeans,2018,2115.8,352.28,24.0,37838.1
Australia,Soybeans,2009,2421.7,231.5,33.5,32008.5
Brazil,Wheat,2017,1941.5,288.1,14.1,39865.4
China,Wheat,2009,1780.7,99.06,17.9,35321.2
Brazil,Wheat,2020,1570.3,264.14,35.0,35710.3
Australia,Soybeans,2003,2361.7,223.94,29.7,37174.2
Brazil,Wheat,2019,2161.0,304.05,23.5,37976.3
Brazil,Maize,2002,733.6,170.67,18.1,31336.0
Brazil,Potatoes,2016,996.4,246.01,34.4,192878.8
Brazil,Soybeans,2005,2917.8,373.25,14.4,35418.0
Brazil,Potatoes,2005,1266.1,138.09,30.2,162880.9
Australia,Soybeans,2013,1527.1,105.04,10.1,26112.8
Australia,"Rice, paddy",2011,1325.9,224.52,34.5,29534.0
China,"Rice, paddy",2019,2696.9,159.43,14.1,29705.3
India,Maize,2004,1577.6,315.38,32.7,39737.1
Brazil,Maize,2004,304.3,435.82,10.8,33038.6
Brazil,Soybeans,2007,1018.9,248.85,20.5,31025.3
Brazil,Potatoes,2014,493.9,373.78,11.3,158854.8
China,Wheat,2009,785.1,344.71,24.1,40800.9
India,Maize,2012,2851.5,71.23,26.1,39821.1
Brazil,Wheat,2015,1190.9,481.11,32.5,42644.5
Brazil,Soybeans,2020,1479.3,260.33,17.4,31734.0
India,Potatoes,2017,450.5,26.68,32.7,189668.9
India,"Rice, paddy",2020,720.2,196.27,22.3,33013.9
China,Wheat,2014,1154.6,18.27,13.4,30864.1
Australia,Soybeans,2000,2940.6,497.15,23.9,43874.2
India,Wheat,2002,1446.1,155.01,17.0,37197.5
Australia,Wheat,2020,2687.0,226.32,31.4,40797.3
Australia,Potatoes,2015,1417.7,241.95,16.6,169442.3
China,Soybeans,2004,1451.3,268.94,10.6,30509.7
India,Maize,2003,1357.5,311.15,34.2,34948.5
Brazil,Wheat,2004,1761.6,162.29,13.4,33413.1
China,Soybeans,2019,2282.1,331.02,30.4,33457.3
China,Potatoes,2011,2917.3,479.83,18.9,213580.7
India,Soybeans,2014,1395.2,339.94,11.7,35720.8
Australia,Wheat,2020,1432.3,482.72,27.1,44183.4
China,Maize,2010,1763.5,459.56,32.5,36269.9
India,Potatoes,2001,1057.9,499.66,16.7,183321.9
Australia,"Rice, paddy",2011,1230.2,31.24,16.7,28315.7
India,Wheat,2001,2359.6,256.78,26.8,42064.9
Brazil,Potatoes,2002,2289.4,300.89,26.4,195544.0
India,Maize,2014,1429.6,357.22,31.5,35998.2
United States of America,Potatoes,2014,514.7,244.28,13.9,155030.5
Australia,Wheat,2001,586.4,116.91,33.8,28479.4
China,"Rice, paddy",2014,2038.9,51.56,31.1,30841.3
United States of America,Potatoes,2001,2459.4,173.06,16.5,187192.6
Brazil,"Rice, paddy",2000,1764.9,489.23,30.3,39785.9
Brazil,Maize,2014,1267.0,189.63,20.5,34792.5
China,Soybeans,2008,1747.7,224.85,21.0,34508.4
China,Soybeans,2010,2373.5,480.38,22.5,40383.8
United States of America,"Rice, paddy",2003,1750.4,102.17,13.9,29420.6
Brazil,Maize,2020,1644.5,277.31,24.0,40723.1
Australia,"Rice, paddy",2013,471.7,110.93,22.8,27309.9
United States of America,Maize,2016,1741.1,72.35,10.2,30919.3
Australia,Maize,2010,2680.5,197.63,27.2,43151.5
Australia,"Rice, paddy",2000,1455.7,329.31,16.6,32070.9
Brazil,Potatoes,2009,316.0,188.41,11.6,168655.1
India,Potatoes,2008,2536.6,161.83,15.9,197721.8
China,Soybeans,2012,2308.9,251.86,11.7,35589.3
China,"Rice, paddy",2015,1451.8,444.62,31.1,37715.3
India,Potatoes,2004,2731.8,411.92,27.1,216660.8
China,Potatoes,2011,1983.2,333.02,15.3,200354.6
United States of America,Potatoes,2010,775.4,371.79,16.3,151723.7
China,"Rice, paddy",2010,542.5,295.58,25.0,30524.0
United States of America,Soybeans,2018,383.1,308.92,29.0,32605.6
Brazil,"Rice, paddy",2011,830.5,126.09,14.3,27520.1
Brazil,"Rice, paddy",2002,922.3,164.12,15.2,28050.7
Australia,Potatoes,2019,743.9,402.15,29.8,189152.1
Australia,Soybeans,2013,1752.8,453.85,31.2,36427.3
Australia,"Rice, paddy",2004,922.7,386.55,18.5,34101.2
United States of America,Potatoes,2019,1133.9,329.6,24.2,192082.2
Brazil,Soybeans,2002,2104.1,447.96,11.4,30426.4
United States of America,Potatoes,2019,1389.6,68.91,22.7,192054.4
Brazil,Potatoes,2007,1215.3,73.88,23.8,178408.7
China,Soybeans,2008,409.4,61.89,15.1,27452.4
China,Wheat,2000,2215.1,293.3,18.9,40228.7
Brazil,Soybeans,2005,643.4,36.64,32.0,27682.9
Australia,Soybeans,2005,2573.2,291.92,11.5,32769.8
Brazil,"Rice, paddy",2012,413.1,251.78,24.6,33358.3
Australia,Wheat,2001,351.4,366.36,33.3,36148.4
United States of America,Wheat,2020,465.5,263.03,22.4,36471.6
Australia,Maize,2013,1979.5,253.12,30.4,37176.0
China,Maize,2013,2548.2,100.81,21.3,39165.2
Australia,Potatoes,2014,565.8,458.44,24.0,222283.4
Brazil,Maize,2014,1199.1,187.1,15.4,29790.0
India,Wheat,2014,2488.2,345.01,28.1,48153.4
China,Wheat,2014,1378.2,92.76,19.9,35521.9
China,Potatoes,2008,1657.7,26.42,33.6,172759.4
Australia,Potatoes,2001,2764.0,390.37,28.9,221229.7
Australia,Potatoes,2008,698.9,214.35,14.9,199666.2
United States of America,Wheat,2011,1498.2,285.64,23.2,40225.4
India,Maize,2016,316.0,296.42,31.2,31895.4
China,Maize,2011,1436.4,363.69,12.7,35411.9
China,Soybeans,2007,1351.0,157.03,21.6,30843.6
China,Wheat,2002,1148.8,405.16,16.7,40735.3
Australia,Potatoes,2019,1050.7,199.58,14.3,171085.5
United States of America,Soybeans,2003,371.8,281.21,15.4,31870.6
Brazil,Wheat,2010,331.4,278.63,26.5,34288.4
Australia,Wheat,2015,1842.6,33.84,12.9,29146.7
Australia,Potatoes,2000,1796.7,164.71,28.0,201206.7
China,Soybeans,2010,2351.2,386.94,21.4,36021.3
Brazil,Potatoes,2017,1684.0,229.6,26.1,216640.9
Australia,Potatoes,2015,560.8,475.91,29.8,205439.5
Australia,"Rice, paddy",2014,977.2,345.01,31.3,28977.0
India,Wheat,2019,736.3,59.62,29.0,31719.6
Brazil,Wheat,2000,984.3,37.59,12.6,32146.7
India,Maize,2009,1035.9,435.84,22.1,39685.0
India,"Rice, paddy",2003,2481.5,184.36,13.1,29543.5
United States of America,Potatoes,2018,2549.8,227.41,28.0,181822.1
Australia,"Rice, paddy",2001,1426.0,332.07,22.2,36843.9
Australia,Potatoes,2003,2977.6,463.82,17.7,204153.0
Brazil,Soybeans,2015,1661.8,232.43,16.3,32373.7
Australia,Potatoes,2014,1284.5,428.9,16.7,173684.2
Brazil,"Rice, paddy",2015,1712.8,23.04,33.3,28346.5
Australia,Soybeans,2017,2318.9,220.84,28.3,37317.3
China,Maize,2020,1323.0,17.84,12.6,29932.3
